turn,heading,epfd,hour,imo,to_bow,course,to_stern,status,callsign,month,to_port,to_starboard,lat,spare_1,destination,maneuver,msg_type,raim,dte,second,ais_version,speed,ship_type,draught,day,accuracy,radio,minute,mmsi,year,repeat,lon,shipname
TurnRate.NO_TI_LEFT,108,,,,,202.9,,0,,,,,41.337745,b'\x00',,0,1,False,,40,,0.2,,,,True,99816,,224569790,,0,2.165857,
-16.0,280,,,,,281.5,,0,,,,,41.268328,b'\x00',,0,3,False,,38,,10.8,,,,True,0,,613013405,,0,2.229237,
,,7,18,,,,,,,2,,,41.335082,b'\x00\x00',,,4,False,,39,,,,,11,False,34288,0,2240991,2024,0,2.141278,
TurnRate.NO_TI_DEFAULT,511,,,,,46.1,,15,,,,,41.346308,b'\x00',,0,1,False,,39,,0.0,,,,True,67058,,225394000,,0,2.152165,
0.0,193,,,,,227.0,,0,,,,,41.338382,b'\x00',,0,1,False,,19,,0.1,,,,False,82037,,229353000,,0,2.16557,
,,15,18,,,,,,,2,,,41.417335,b'\x80\x00',,,4,True,,40,,,,,11,False,114814,0,2241128,2024,0,2.114185,
,,15,17,9465100,24,,26,,ZCTS,9,5,5,,b'\x00',BCN,,5,,False,,1,,37,2.3,10,,,0,319676000,,0,,WANDERLUST
0.0,225,,,,,315.0,,15,,,,,41.342958,b'\x00',,0,1,False,,40,,0.1,,,,True,25600,,225989401,,0,2.158568,
0.0,282,,,,,13.1,,5,,,,,41.37632,b'\x00',,0,3,False,,41,,0.1,,,,True,80890,,229852000,,0,2.186537,
TurnRate.NO_TI_DEFAULT,511,,,,,250.2,,0,,,,,41.378765,b'\x00',,0,1,True,,42,,0.0,,,,False,34333,,224001990,,0,2.182595,
0.0,260,,,,,260.2,,0,,,,,41.274172,b'\x00',,0,1,False,,41,,8.8,,,,True,2270,,636011280,,0,2.331695,
TurnRate.NO_TI_DEFAULT,511,,,,,354.7,,7,,,,,41.372962,b'\x00',,0,3,True,,41,,0.0,,,,True,76707,,224368920,,0,2.184925,
0.0,282,,,,,13.1,,5,,,,,41.37632,b'\x00',,0,3,False,,41,,0.1,,,,True,83834,,229852000,,0,2.186537,
0.0,55,,,,,240.7,,0,,,,,41.34798,b'\x00',,0,1,False,,42,,0.1,,,,False,25600,,224327160,,0,2.162742,
0.0,206,,,,,75.0,,5,,,,,41.375167,b'\x00',,1,3,False,,42,,0.0,,,,False,0,,224799000,,0,2.183667,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.34057,b'\x00',,0,1,True,,42,,0.0,,,,True,2263,,224304570,,0,2.165322,
0.0,27,,,,,360.0,,0,,,,,41.335597,b'\x00',,0,1,True,,43,,0.0,,,,True,49261,,224101930,,0,2.144978,
TurnRate.NO_TI_DEFAULT,511,,,,,107.7,,7,,,,,41.373725,b'\x00',,0,1,True,,43,,0.1,,,,True,114776,,224066460,,0,2.184987,
12.0,280,,,,,282.1,,0,,,,,41.268363,b'\x00',,0,3,False,,41,,10.8,,,,True,8704,,613013405,,0,2.229033,
0.0,276,,,,,296.9,,0,,,,,41.300552,b'\x00',,0,1,False,,43,,2.3,,,,False,49290,,636020334,,0,2.466667,
0.0,6,,,,,0.0,,7,,,,,41.374823,b'\x00',,0,1,False,,44,,0.0,,,,False,2269,,224220140,,0,2.18524,
